Customer ID,Recency,Frequency,Monetary,Churned,Avg_Order_Value,Std_Order_Value,Total_Items,Unique_Products,Avg_Items_Per_Order,Total_Orders,Tenure,Avg_Days_Between_Orders,Cancellation_Count,Cancelled_Value,Is_UK,Cancel_Rate,Churn_Probability,Predicted_CLV,Action,Has_Cancelled
12346,146,12,77556.46,1,2281.0723529411766,13234.943417912516,74285,27,2184.8529411764707,12,546,33.333333333333336,5,77608.20000000001,1,0.4166666666666667,0.83,56.30298423739163,Low-Cost Re-engage,1
12347,3,5,2817.48,0,19.841408450704225,21.52757560612376,1822,101,12.830985915492958,5,224,44.0,0,0.0,0,0.0,0.05,511.0976030642868,Protect & Reward,0
12348,69,4,1709.3999999999999,0,35.6125,40.813755008236384,2497,25,52.020833333333336,4,258,47.25,0,0.0,0,0.0,0.255,180.2363326083023,Protect & Reward,0
12349,228,3,2671.14,0,26.18764705882353,33.25073962332209,993,90,9.735294117647058,3,409,60.333333333333336,1,24.15,0,0.3333333333333333,0.155,107.2415604897487,Nurture & Grow,1
12350,130,1,334.40000000000003,1,19.67058823529412,7.275538185065965,197,17,11.588235294117647,1,130,0.0,0,0.0,0,0.0,0.81,7.399452607041165,Low-Cost Re-engage,0
12351,195,1,300.93,1,14.33,4.014716677425693,261,21,12.428571428571429,1,195,0.0,0,0.0,0,0.0,0.865,5.222793180701163,Low-Cost Re-engage,0
12352,82,7,1905.6100000000001,0,34.02875,62.27574166742032,442,38,7.892857142857143,7,213,18.571428571428573,3,960.6300000000001,0,0.42857142857142855,0.1,196.04875053242282,Protect & Reward,1
12353,24,2,406.76,1,16.948333333333334,8.799588758506875,212,23,8.833333333333334,2,229,102.0,0,0.0,0,0.0,0.83,16.123091602980203,Low-Cost Re-engage,0
12354,52,1,1079.4,1,18.610344827586207,8.679742086377074,530,58,9.137931034482758,1,52,0.0,0,0.0,0,0.0,0.735,50.04172818339929,Low-Cost Re-engage,0
12355,34,2,947.61,1,27.074571428571428,22.11047493874355,543,35,15.514285714285714,2,388,176.5,0,0.0,0,0.0,0.855,32.706794206783194,Low-Cost Re-engage,0
12356,66,5,6313.38,0,45.09557142857143,60.394685402367784,3411,104,24.364285714285714,5,245,35.8,0,0.0,0,0.0,0.19,971.1898954042537,Protect & Reward,0
12357,208,2,12079.99,0,73.2120606060606,98.85019940575377,3879,165,23.509090909090908,2,209,0.0,0,0.0,0,0.0,0.17,131.4997212731971,Protect & Reward,0
12358,196,3,2719.01,0,46.879482758620696,71.54184015462718,831,52,14.327586206896552,3,552,118.66666666666667,0,0.0,0,0.0,0.155,29.701686945056036,Nurture & Grow,0
12359,10,9,6059.09,0,23.304192307692308,25.14049202978244,2095,230,8.057692307692308,9,554,60.44444444444444,3,129.8,0,0.3333333333333333,0.04,913.1331030028779,Protect & Reward,1
12360,21,6,2674.41,0,20.108345864661654,22.071766628242347,1728,108,12.992481203007518,6,476,75.83333333333333,1,40.0,0,0.16666666666666666,0.015,422.860968197341,Protect & Reward,1
12361,107,4,511.25,1,17.629310344827587,3.8385617945066755,235,18,8.10344827586207,4,502,98.5,0,0.0,0,0.0,0.815,13.197978799089178,Low-Cost Re-engage,0
12362,46,3,1104.34,0,19.37438596491228,16.325910936906386,505,52,8.859649122807017,3,559,170.66666666666666,1,4.9,0,0.3333333333333333,0.275,23.54174859220402,Nurture & Grow,1
12363,62,1,299.1,0,18.69375,6.93228858314482,282,16,17.625,1,62,0.0,0,0.0,0,0.0,0.15,26.410747613450038,Nurture & Grow,0
12365,111,2,641.38,1,29.153636363636362,65.1966351414414,174,22,7.909090909090909,2,111,0.0,1,320.69,0,0.5,0.635,13.05788892890118,Low-Cost Re-engage,1
12366,454,1,500.24,1,166.74666666666667,7.80577563944373,296,3,98.66666666666667,1,454,0.0,0,0.0,0,0.0,0.915,4.345837713028956,Low-Cost Re-engage,0
12368,448,1,917.7,1,50.983333333333334,29.271814389392723,330,18,18.333333333333332,1,448,0.0,0,0.0,0,0.0,0.985,2.3229749861128814,Low-Cost Re-engage,0
12369,233,3,1791.15,1,19.25967741935484,24.548899224928196,1241,90,13.344086021505376,3,462,76.0,0,0.0,0,0.0,0.805,40.11698941184972,Low-Cost Re-engage,0
